V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,
-1.3598,-0.072781,2.5363,1.3782,-0.33832,0.46239,0.2396,0.098698,0.36379,0.090794,-0.5516,-0.6178,-0.99139,-0.31117,1.4682,-0.4704,0.20797,0.025791,0.40399,0.25141,-0.018307,0.27784,-0.11047,0.066928,0.12854,-0.18911,0.13356,-0.021053,149.62,0
1.1919,0.26615,0.16648,0.44815,0.060018,-0.082361,-0.078803,0.085102,-0.25543,-0.16697,1.6127,1.0652,0.4891,-0.14377,0.63556,0.46392,-0.1148,-0.18336,-0.14578,-0.069083,-0.22578,-0.63867,0.10129,-0.33985,0.16717,0.12589,-0.0089831,0.014724,2.69,0
-1.3584,-1.3402,1.7732,0.37978,-0.5032,1.8005,0.79146,0.24768,-1.5147,0.20764,0.6245,0.066084,0.71729,-0.16595,2.3459,-2.8901,1.11,-0.12136,-2.2619,0.52498,0.248,0.77168,0.90941,-0.68928,-0.32764,-0.1391,-0.055353,-0.059752,378.66,0
-0.96627,-0.18523,1.793,-0.86329,-0.010309,1.2472,0.23761,0.37744,-1.387,-0.054952,-0.22649,0.17823,0.50776,-0.28792,-0.63142,-1.0596,-0.68409,1.9658,-1.2326,-0.20804,-0.1083,0.0052736,-0.19032,-1.1756,0.64738,-0.22193,0.062723,0.061458,123.5,0
-1.1582,0.87774,1.5487,0.40303,-0.40719,0.095921,0.59294,-0.27053,0.81774,0.75307,-0.82284,0.5382,1.3459,-1.1197,0.17512,-0.45145,-0.23703,-0.038195,0.80349,0.40854,-0.0094307,0.79828,-0.13746,0.14127,-0.20601,0.50229,0.21942,0.21515,69.99,0
-0.42597,0.96052,1.1411,-0.16825,0.42099,-0.029728,0.4762,0.26031,-0.56867,-0.37141,1.3413,0.35989,-0.35809,-0.13713,0.51762,0.40173,-0.058133,0.068653,-0.033194,0.084968,-0.20825,-0.55982,-0.026398,-0.37143,-0.23279,0.10591,0.25384,0.08108,3.67,0
1.2297,0.141,0.045371,1.2026,0.19188,0.27271,-0.005159,0.081213,0.46496,-0.099254,-1.4169,-0.15383,-0.75106,0.16737,0.050144,-0.44359,0.0028205,-0.61199,-0.045575,-0.21963,-0.16772,-0.27071,-0.1541,-0.78006,0.75014,-0.25724,0.034507,0.0051678,4.99,0
-0.64427,1.418,1.0744,-0.4922,0.94893,0.42812,1.1206,-3.8079,0.61537,1.2494,-0.61947,0.29147,1.758,-1.3239,0.68613,-0.076127,-1.2221,-0.35822,0.3245,-0.15674,1.9435,-1.0155,0.057504,-0.64971,-0.41527,-0.051634,-1.2069,-1.0853,40.8,0
-0.89429,0.28616,-0.11319,-0.27153,2.6696,3.7218,0.37015,0.85108,-0.39205,-0.41043,-0.70512,-0.11045,-0.28625,0.074355,-0.32878,-0.21008,-0.49977,0.11876,0.57033,0.052736,-0.073425,-0.26809,-0.20423,1.0116,0.3732,-0.38416,0.011747,0.1424,93.2,0
-0.33826,1.1196,1.0444,-0.22219,0.49936,-0.24676,0.65158,0.069539,-0.73673,-0.36685,1.0176,0.83639,1.0068,-0.44352,0.15022,0.73945,-0.54098,0.47668,0.45177,0.20371,-0.24691,-0.63375,-0.12079,-0.38505,-0.069733,0.094199,0.24622,0.083076,3.68,0
